Module	Feature	Action	Passing criteria	Failing criteria	Priority	In scope	Status	Defect / notes
SOX	Library - Portfolio Breakdown	Verify that clicking a By Process row filters the library to that process	The list opens with that process filter applied	Nothing happens or the wrong filter is applied	P1	Yes		
SOX	Library - Portfolio Breakdown	Verify that the number of rows after filtering matches the count that was shown on the breakdown row	The row count matches the count that was clicked	The counts do not match	P1	Yes		
SOX	Library - Portfolio Breakdown	Verify that a fraction such as tested over total is shown in full without being cut off	The full figure is readable	The number is cut off or wraps badly	P2	Yes		
SOX	Library - Portfolio Breakdown	Verify that a breakdown row with a count of zero does not mislead the user	It either cannot be clicked or opens a list that says there is nothing of this kind	An empty list opens with no explanation	P2	Yes		
SOX	Library - Needs Attention	Verify that the Needs Attention panel lists engagements that need review with name, type tag, engagement code and exception count	All four are shown for each engagement	A value is missing or shows a dash	P1	Yes		
SOX	Library - Needs Attention	Verify that engagements with no open exceptions are not listed under Needs Attention	Only engagements with real problems are listed	Healthy engagements appear in the list	P1	Yes		Observed on staging 21 Aug 2026 - engagements showing 0/0 exceptions are listed under Needs attention
SOX	Library - Needs Attention	Verify that clicking an engagement in Needs Attention opens that engagement	The right engagement opens	Nothing happens or the wrong engagement opens	P1	Yes		
SOX	Library - Needs Attention	Verify that the View all link opens the full Needs Attention list	The full list opens	The link does nothing	P2	Yes		
SOX	Library - Needs Attention	Verify that the panel shows a friendly message when nothing needs attention	A short message says everything is on track	An empty box with no explanation is shown	P2	Yes		
SOX	Library - Needs Attention	Verify that the panel is capped at a sensible number of rows with the rest behind View all	A short list is shown with a link to the rest	The panel grows without limit and pushes the page down	P2	Yes		
SOX	Library - Upcoming Milestones	Verify that the Upcoming Milestones panel shows scheduled milestones when there are any	Milestones are listed with their dates	Milestones exist but the panel stays empty	P2	Yes		
SOX	Library - Upcoming Milestones	Verify that the panel says clearly when nothing is scheduled	A short message says there are no scheduled milestones	A blank panel is shown	P2	Yes		
SOX	Library - Upcoming Milestones	Verify that a feature marked as coming soon cannot be clicked into a dead end	The label is clear and the area is not clickable	Clicking opens an empty or broken screen	P2	Yes		Observed on staging 21 Aug 2026 - panel shows both "No scheduled milestones" and a "Coming soon" badge at the same time
SOX	Library - Engagement List	Verify that every engagement row shows its name, status, type tag, engagement code, owner, date range and process tag	All of these are shown on the row	A field is missing or shows a dash	P0	Yes		
SOX	Library - Engagement List	Verify that a SOX engagement row carries the SOX / ICFR tag	The tag reads SOX / ICFR	The tag is missing or shows another type	P0	Yes		
SOX	Library - Engagement List	Verify that an engagement with no testing yet shows a clear health message rather than a blank	A message such as no runs yet is shown	The health column is blank	P1	Yes		
SOX	Library - Engagement List	Verify that the list can be scrolled through to the last engagement	Every engagement can be reached	Scrolling stops early or the list re-loads from the top	P1	Yes		
SOX	Library - Engagement List	Verify that the list loads within a reasonable wait on a full portfolio	The list is usable within a few seconds	The list takes longer than fifteen seconds or never appears	P0	Yes		Observed on staging 21 Aug 2026 - engagement pages routinely take 10 to 20 seconds to render
SOX	Library - Engagement List	Verify that opening an engagement from the list opens that engagement	The right engagement opens	The wrong engagement opens or the click does nothing	P0	Yes		
SOX	Library - Engagement List	Verify that the row count shown at the bottom matches the number of rows on screen	The two agree	They disagree	P2	Yes		
SOX	Library - Engagement List	Verify that a draft engagement is clearly marked as draft	The row shows a draft status	A draft looks the same as an active engagement	P1	Yes		
SOX	Library - Search and Filters	Verify that typing part of an engagement name narrows the list to matching engagements	Only matching engagements are listed	Nothing is filtered or the wrong rows are shown	P0	Yes		
SOX	Library - Search and Filters	Verify that the search also matches on owner, framework and engagement code	Searching any of these finds the engagement	Only the name is searched	P1	Yes		
SOX	Library - Search and Filters	Verify that search is not case sensitive	Upper and lower case find the same rows	Case changes the result	P1	Yes		
SOX	Library - Search and Filters	Verify that a search with no matches shows a clear empty message	A short message says nothing matched	A blank list with no explanation is shown	P1	Yes		
SOX	Library - Search and Filters	Verify that clearing the search brings the full list back	The full list returns	The list stays filtered	P1	Yes		
SOX	Library - Search and Filters	Verify that the type filter lists every engagement type including SOX / ICFR	All types are listed	A type is missing	P0	Yes		
SOX	Library - Search and Filters	Verify that choosing SOX / ICFR in the type filter shows only SOX engagements	Only SOX engagements are listed	Other types remain in the list	P0	Yes		
SOX	Library - Search and Filters	Verify that the status filter lists Active and Draft	Both statuses are listed	A status is missing	P1	Yes		
SOX	Library - Search and Filters	Verify that the third filter narrows the list as described by its label	The list narrows as the label promises	The filter has no effect	P1	Yes		
SOX	Library - Search and Filters	Verify that search and filters work together rather than cancelling each other	Both are applied at once	Applying one clears the other	P1	Yes		
SOX	Library - Search and Filters	Verify that the filters can all be reset back to the default view	The full list returns after reset	Some filter stays stuck	P1	Yes		
SOX	Library - Search and Filters	Verify that the filter choices survive moving to another tab and back	The choices are still applied	The filters reset	P2	Yes		
SOX	Library - Row Actions	Verify that hovering a row reveals its actions	The actions appear on hover	No actions appear	P2	Yes		
SOX	Library - Row Actions	Verify that the run action on a row starts the expected job and gives feedback	A confirmation or progress indicator appears	Nothing visible happens	P1	Yes		
SOX	Library - Row Actions	Verify that the delete action asks for confirmation before removing an engagement	A confirmation step is shown first	The engagement is deleted straight away	P0	Yes		
SOX	Library - Row Actions	Verify that a deleted engagement disappears from the list and the counts go down	The row is gone and the totals drop by one	The row stays or the counts do not change	P0	Yes		
SOX	Library - Row Actions	Verify that cancelling the delete confirmation leaves the engagement untouched	The engagement is still there	The engagement is deleted anyway	P0	Yes		
SOX	Library - Row Actions	Verify that a user without delete rights does not see the delete action	The action is hidden or disabled	A user without rights can delete	P0	Yes		
SOX	Library - Row Actions	Verify that row actions do not open the engagement by accident	Only the action runs	The engagement page opens as well	P2	Yes		
SOX	Library - Approval Flow	Verify that the Approval Flow tab shows the Risk Owner and Auditor hierarchies	Both hierarchies are available	A hierarchy is missing	P1	Yes		
SOX	Library - Approval Flow	Verify that each hierarchy tab shows a count of the people in it	The count matches the people shown	The count and the people disagree	P1	Yes		
SOX	Library - Approval Flow	Verify that the reporting chart shows who reports to whom	Each person sits under their manager	The chart is flat or the lines are wrong	P1	Yes		
SOX	Library - Approval Flow	Verify that the table under the chart shows name, email, role, teams, status and manager	All six are shown	A column is blank for a person who has a value	P1	Yes		
SOX	Library - Approval Flow	Verify that a person with no manager shows a clear dash rather than a blank	A dash is shown	The cell is blank and reads as a bug	P2	Yes		
SOX	Library - Approval Flow	Verify that a person with no role shows a clear dash rather than a blank	A dash is shown	The cell is blank	P2	Yes		
SOX	Library - Approval Flow	Verify that the results count above the table matches the rows shown	The two agree	They disagree	P2	Yes		
SOX	Library - Approval Flow	Verify that searching a person narrows the table	Only matching people are shown	The search has no effect	P1	Yes		
SOX	Library - Approval Flow	Verify that the tab explains in one line what the hierarchy is for	A short description sits under the heading	No explanation is given	P2	Yes		
SOX	Library - Approval Flow	Verify that a person who belongs to several teams shows all their teams	Every team is listed	Only one team is shown	P2	Yes		
SOX	Library - Approval Flow	Verify that an inactive person is clearly marked	The status column shows they are inactive	An inactive person looks active	P1	Yes		
SOX	Library - Approval Flow	Verify that the hierarchy is read only for a user without admin rights	No editing controls are offered	A user without rights can change the hierarchy	P0	Yes		
SOX	Create Engagement - Type	Verify that New Engagement opens a three step panel showing Type, Basics and Review	The panel opens on step 1 of 3 with the three step names visible	The panel does not open or shows the wrong number of steps	P0	Yes		
SOX	Create Engagement - Type	Verify that all four engagement types are listed with a one line description each	Automation, SOX / ICFR, Internal Audit and Compliance are listed with descriptions	A type is missing or has no description	P0	Yes		
SOX	Create Engagement - Type	Verify that Compliance is clearly marked as coming soon and cannot be chosen	The type is greyed with a coming soon label and cannot be selected	The type can be selected and the flow breaks later	P1	Yes		
SOX	Create Engagement - Type	Verify that selecting SOX / ICFR marks that type as chosen	A tick appears against SOX / ICFR and no other type looks chosen	No tick appears or two types look chosen	P0	Yes		
SOX	Create Engagement - Type	Verify that Next stays disabled until a type is chosen	Next cannot be used with nothing selected	Next works with nothing selected	P0	Yes		
SOX	Create Engagement - Type	Verify that the step name at the top changes only once the next step is actually shown	The step label and the content on screen always match	The label says Basics while the Type list is still on screen	P0	Yes		Observed on staging 21 Aug 2026 - header jumps to "Step 2 of 3 BASICS" while the type list is still showing, for about three seconds
SOX	Create Engagement - Type	Verify that Cancel closes the panel without creating anything	The panel closes and no new engagement appears	An engagement is created anyway	P0	Yes		
SOX	Create Engagement - Type	Verify that the close cross behaves the same as Cancel	The panel closes with nothing created	Something is saved on close	P1	Yes		
SOX	Create Engagement - Type	Verify that choosing a different type before moving on replaces the earlier choice	Only the last chosen type is carried forward	Both choices are carried forward	P1	Yes		
SOX	Create Engagement - Basics	Verify that the Basics step asks for engagement name, description, company or group name and entities	All four are on the step	A field is missing	P0	Yes		
SOX	Create Engagement - Basics	Verify that engagement name and description are marked as required	Both carry a required marker	A required field is not marked	P0	Yes		
SOX	Create Engagement - Basics	Verify that required field errors appear only after the user has tried to leave the field empty	No error is shown on a field the user has not touched yet	Red errors are shown before the user has typed anything	P1	Yes		Observed on staging 21 Aug 2026 - "Name is required" and "Description is required" appear the moment the step opens
SOX	Create Engagement - Basics	Verify that a valid name clears the name error	The error disappears as soon as a name is typed	The error stays after a valid name is entered	P0	Yes		
SOX	Create Engagement - Basics	Verify that a very long engagement name is either accepted in full or capped with a clear message	The name is stored in full or the limit is explained	The name is silently cut off	P1	Yes		
SOX	Create Engagement - Basics	Verify that leading and trailing spaces in the name are trimmed	The stored name has no stray spaces	A name made only of spaces is accepted	P1	Yes		
SOX	Create Engagement - Basics	Verify that two engagements cannot be created with exactly the same name without a warning	A warning or a distinct code makes them tellable apart	Two identical names are created with nothing to separate them	P1	Yes		
SOX	Create Engagement - Basics	Verify that special characters and other languages are accepted in the name	The name is stored and shown correctly	Characters are lost or shown as question marks	P2	Yes		
SOX	Create Engagement - Basics	Verify that the description accepts a full sentence and shows it in full later	The whole description is stored and shown	The description is cut off	P1	Yes		
SOX	Create Engagement - Basics	Verify that company or group name is optional and the step can be completed without it	The step can be completed without it	The step is blocked by an optional field	P1	Yes		
SOX	Create Engagement - Basics	Verify that the company name field keeps what is typed into it	The typed value stays in the field	The field clears itself after typing	P0	Yes		Observed on staging 21 Aug 2026 - the company name field lost its value once when the entities section shifted the layout during typing
SOX	Create Engagement - Basics	Verify that Next stays disabled until both required fields are filled	Next cannot be used until then	Next works with an empty required field	P0	Yes		
SOX	Create Engagement - Basics	Verify that Back returns to the type step with the chosen type still selected	The type is still selected on return	The type choice is lost	P1	Yes		
SOX	Create Engagement - Basics	Verify that the step explains that entities are read from the uploaded files and cannot be typed	A short line says so under the upload area	No explanation is given and the user looks for a text field	P2	Yes		
SOX	Create Engagement - Entities	Verify that ticking we are a single entity company hides the trial balance and general ledger uploads	The upload area disappears and the step can be completed	The uploads stay on screen and still block the step	P0	Yes		
SOX	Create Engagement - Entities	Verify that unticking single entity brings the upload area back	The upload area returns	The area stays hidden and the user is stuck	P0	Yes		
SOX	Create Engagement - Entities	Verify that a trial balance can be uploaded as an xlsx file	The file is accepted and the entities are read from it	The file is refused or nothing happens	P0	Yes		
SOX	Create Engagement - Entities	Verify that a trial balance can be uploaded as a csv file	The file is accepted	Only xlsx works even though csv is offered	P0	Yes		
SOX	Create Engagement - Entities	Verify that a file of an unsupported kind is refused with a clear message	A message names the kinds of file that are accepted	The file is accepted and fails silently later	P0	Yes		
SOX	Create Engagement - Entities	Verify that each entity found in the trial balance is listed back to the user before creation	Every entity in the file is listed	Entities are missed or duplicated	P0	Yes		
SOX	Create Engagement - Entities	Verify that an empty trial balance is refused with a clear message	A message says no entities were found	An engagement is created with no entities and no warning	P0	Yes		
SOX	Create Engagement - Entities	Verify that a trial balance with no entity column is refused with a clear message	A message says which column is missing	The file is accepted and the entity list is blank	P0	Yes		
SOX	Create Engagement - Entities	Verify that an uploaded file can be removed before the step is completed	The file can be removed and the entity list clears	The file cannot be removed	P1	Yes		
SOX	Create Engagement - Entities	Verify that a very large trial balance either uploads or explains the size limit	The file uploads or the limit is explained	The upload hangs with no message	P1	Yes		
SOX	Create Engagement - Review	Verify that the Review step shows everything that was entered on the earlier steps	Name, description, company and entity choice are all shown	A value is missing from the summary	P0	Yes		
SOX	Create Engagement - Review	Verify that the Review step shows the engagement type that was chosen	The type is named on the review	The type is not shown anywhere on the review	P1	Yes		Observed on staging 21 Aug 2026 - the review step repeats the Basics form and never names the chosen type
SOX	Create Engagement - Review	Verify that the fields on the Review step cannot be edited in place	The fields are read only	A field can be edited without going back a step	P1	Yes		
SOX	Create Engagement - Review	Verify that Back from Review returns to Basics with every value still in place	All values are still there	Values are lost on the way back	P0	Yes		
SOX	Create Engagement - Review	Verify that both Create as Draft and Create and Activate are offered	Both buttons are shown	A button is missing	P0	Yes		
SOX	Create Engagement - Review	Verify that the difference between draft and active is explained on the step	A short line explains the difference	The user has to guess	P2	Yes		
SOX	Create Engagement - Review	Verify that Cancel from Review closes without creating anything	Nothing is created	An engagement is created anyway	P0	Yes		
SOX	Create Engagement - Review	Verify that pressing Create twice quickly does not create two engagements	Only one engagement is created	Two identical engagements appear	P0	Yes		
SOX	Create Engagement - Post Creation	Verify that Create and Activate creates the engagement with an Active status	The engagement is created and shows as Active	The engagement is created as Draft or fails	P0	Yes		
SOX	Create Engagement - Post Creation	Verify that Create as Draft creates the engagement with a Draft status	The engagement is created and shows as Draft	The engagement is created as Active	P0	Yes		
SOX	Create Engagement - Post Creation	Verify that a new engagement is given the next engagement code in sequence	The code follows the last one used	The code repeats an existing code	P0	Yes		
SOX	Create Engagement - Post Creation	Verify that the user is taken into the new engagement after it is created	The engagement page opens	The user is left on the library with no feedback	P0	Yes		
SOX	Create Engagement - Post Creation	Verify that the user lands on the Overview tab of the new engagement	Overview opens first	A later tab such as RACM opens first	P1	Yes		Observed on staging 21 Aug 2026 - creation lands on the RACM tab, not Overview
SOX	Create Engagement - Post Creation	Verify that a brand new SOX engagement contains no RACMs	The RACM library is empty	A RACM from somewhere else is already listed	P0	Yes		Observed on staging 21 Aug 2026 - ENG-050 was created with an "Inventory Management SOP_RACM (3)" RACM already in it
SOX	Create Engagement - Post Creation	Verify that a brand new SOX engagement contains no controls	The control library is empty	Controls from another engagement are already listed	P0	Yes		Observed on staging 21 Aug 2026 - 23 controls were present in a brand new engagement before anything was imported
SOX	Create Engagement - Post Creation	Verify that a brand new SOX engagement contains no audits	The audit list is empty with a clear first step	An audit already exists	P0	Yes		
SOX	Create Engagement - Post Creation	Verify that the new engagement appears in the library list and in the counts	The row is there and the totals go up by one	The engagement is missing until a manual refresh	P1	Yes		
SOX	Engagement Header	Verify that the engagement header shows the name, status, type tag and engagement code	All four are shown	A value is missing	P0	Yes		
SOX	Engagement Header	Verify that the engagement description is shown under the header	The description is shown in full	The description is missing or cut off	P1	Yes		
SOX	Engagement Header	Verify that the SOX badge next to the name matches the engagement type	The badge says SOX	The badge shows a different type	P1	Yes		
SOX	Engagement Header	Verify that Back to Engagements returns to the library	The library opens	The link does nothing	P1	Yes		
SOX	Engagement Header	Verify that the Configuration link in the header opens the engagement settings	The settings page opens	The link does nothing	P1	Yes		
SOX	Engagement Header	Verify that the header stays in place while the tabs below are changed	The header does not move or reload	The header flickers or reloads on every tab change	P2	Yes		
SOX	Engagement Header	Verify that a very long engagement name does not push the status and type tags off the line	Everything stays on screen	Tags are pushed out of view	P2	Yes		
SOX	Engagement Header	Verify that the header is the same on every tab of the engagement	The header does not change between tabs	The header changes or disappears on some tabs	P2	Yes		
SOX	Engagement Tabs	Verify that a SOX engagement shows Overview, RACM, Controls and SOX audit	All four tabs are shown	A tab is missing or an unrelated tab is shown	P0	Yes		
SOX	Engagement Tabs	Verify that each tab opens its own content	Each tab shows content that belongs to it	A tab shows another tab content	P0	Yes		Observed on staging 21 Aug 2026 - the Controls tab briefly rendered the SOX audit list before its own table appeared
SOX	Engagement Tabs	Verify that the selected tab is clearly marked	Only the open tab is highlighted	No tab or two tabs look selected	P1	Yes		
SOX	Engagement Tabs	Verify that the browser address changes with the tab so a tab can be shared as a link	The address matches the open tab	Every tab shares the same address	P1	Yes		
SOX	Engagement Tabs	Verify that opening a tab link directly opens that tab	The right tab opens	The default tab opens instead	P1	Yes		
SOX	Engagement Tabs	Verify that each tab finishes loading within a reasonable wait	Content appears within a few seconds	A tab takes longer than fifteen seconds or stays blank	P0	Yes		Observed on staging 21 Aug 2026 - the Controls tab took about 15 seconds to render on a 26 control engagement
SOX	Engagement Tabs	Verify that moving away from a tab and back does not lose filters or search text	The earlier view is restored	Everything resets	P2	Yes		
SOX	Engagement Overview	Verify that an engagement with no audits shows a clear first step rather than an empty page	A short message explains what an audit is and offers New audit	A blank page is shown	P0	Yes		
SOX	Engagement Overview	Verify that the Before you start checklist shows RACM, control library and entities with their counts	All three lines are shown with counts	A line is missing or the count is blank	P1	Yes		
SOX	Engagement Overview	Verify that the RACM line count matches the number of processes actually in the engagement	The counts agree	The counts disagree	P1	Yes		Observed on staging 21 Aug 2026 - checklist reported 3 processes while the RACM library reported 1 RACM
SOX	Engagement Overview	Verify that the control library line count matches the Controls tab	The counts agree	The counts disagree	P1	Yes		
SOX	Engagement Overview	Verify that the entities line count matches the entities on the engagement	The counts agree	The counts disagree	P1	Yes		
SOX	Engagement Overview	Verify that a checklist line that is not yet done is clearly marked as not done	Incomplete lines are visibly different	Every line looks complete regardless of the count	P1	Yes		Observed on staging 21 Aug 2026 - all three lines show a green tick even before anything is set up
SOX	Engagement Overview	Verify that New audit on the empty state opens the new audit panel	The panel opens	The button does nothing	P0	Yes		
SOX	Engagement Overview	Verify that once audits exist the Overview shows them rather than the empty state	The audits are listed	The empty state is still shown	P0	Yes		
SOX	Engagement Overview	Verify that the Overview and the SOX audit tab do not show identical content	Each tab has its own purpose and content	Both tabs show the same empty state and the same buttons	P1	Yes		Observed on staging 21 Aug 2026 - Overview and SOX audit render the same "No audits yet" block on an empty engagement
SOX	Library - Global Actions	Verify that the New Engagement button opens the engagement creation panel	The panel opens	Nothing happens	P0	Yes		
SOX	Library - Global Actions	Verify that the Audit Planning Timeline button marked as coming soon cannot be used	The button is disabled and does not respond	Clicking opens an empty or broken screen	P1	Yes		
SOX	Library - Global Actions	Verify that the New Engagement button is hidden or disabled for a viewer	The button is not usable by a viewer	A viewer can start creating an engagement	P0	Yes		
SOX	Library - Global Actions	Verify that a coming soon badge is shown next to any feature that is not built yet	The badge is shown	A dead action looks live	P2	Yes		
SOX	Library - Data Integrity	Verify that Portfolio Health and Open Findings stay the same across a page refresh	The figures are unchanged	The figures move without any underlying change	P0	Yes		
SOX	Library - Data Integrity	Verify that the engagement counts stay the same across a page refresh	The counts are unchanged	The counts move on refresh	P0	Yes		
SOX	Library - Data Integrity	Verify that the same engagement shows the same exception count on the overview and in the list	The two agree	They disagree	P0	Yes		
SOX	Library - Data Integrity	Verify that the library figures survive a filter being applied and cleared	The totals return to their original values	The totals drift	P1	Yes		
SOX	Library - Performance	Verify that the Engagement Library loads within a reasonable wait on a large portfolio	The page is usable within a few seconds	The page takes longer than fifteen seconds	P0	Yes		Observed on staging 21 Aug 2026 - the library takes 10 to 15 seconds with 47 engagements
SOX	Library - Performance	Verify that scrolling a long engagement list stays smooth	Scrolling is smooth	The list stutters or re-renders	P2	Yes		
SOX	Library - Performance	Verify that switching between tabs does not reload the whole page	Only the tab content changes	The whole page reloads each time	P2	Yes		
SOX	Engagement Configuration	Verify that the Configuration link in the engagement header opens the engagement settings	The settings open	The link does nothing	P1	Yes		
SOX	Engagement Configuration	Verify that the engagement settings show the company name and the entities	Both are shown	A value is missing	P1	Yes		
SOX	Engagement Configuration	Verify that the financial year the engagement runs on is captured	The financial year is shown	The engagement has no financial year	P1	Yes		No financial year field exists on staging as at 21 Aug 2026
SOX	Engagement Configuration	Verify that entities can be added to an engagement after it is created	Entities can be added	The entity list is fixed at creation	P1	Yes		
SOX	Engagement Configuration	Verify that changing an engagement setting warns about audits already running on it	A warning is shown	Live audits change under the user	P0	Yes		
SOX	Engagement Configuration	Verify that people and roles for the engagement can be seen from the settings	The people are listed with their roles	There is no way to see who is on the engagement	P1	Yes		
SOX	RACM Library	Verify that the RACM tab shows a RACM library header with the process tag and the number of matrices	The header shows the process tag and the count	The header is missing or the count is wrong	P1	Yes		
SOX	RACM Library	Verify that the RACM library header does not show empty separators where a value is missing	The header reads cleanly	Two dots appear next to each other where a value is missing	P2	Yes		Observed on staging 21 Aug 2026 - header reads "P2P . . 2 RACMs"
SOX	RACM Library	Verify that an engagement with no RACM shows a clear starting screen with both ways in	The screen offers upload a RACM and upload an SOP	A blank tab is shown	P0	Yes		
SOX	RACM Library	Verify that the file kinds named on the starting screen match the file kinds the upload actually accepts	Both say the same thing	The screen says xlsx only while the upload also accepts csv and images	P1	Yes		Observed on staging 21 Aug 2026 - empty state says .xlsx, the modal says .xlsx / .csv, and the file picker accepts pdf, pptx, png, jpg, tiff, bmp and webp
SOX	RACM Library	Verify that each RACM in the library shows its name, source label, version, state and when it was last changed	All five are shown	A value is missing	P1	Yes		
SOX	RACM Library	Verify that Open in editor opens that RACM in the full editor	The right RACM opens	The wrong RACM opens or nothing happens	P0	Yes		
SOX	RACM Library	Verify that the with SOP counter matches the number of RACMs that came from an SOP	The counts agree	The counter is wrong	P2	Yes		
SOX	RACM Library	Verify that only RACMs belonging to this engagement are listed	Nothing from another engagement appears	A RACM created elsewhere is listed here	P0	Yes		Observed on staging 21 Aug 2026 - "Inventory Management SOP_RACM (3)" appeared in a brand new engagement
SOX	RACM Library	Verify that New RACM is available whether or not the library already has matrices	The button is always available	The button disappears once one RACM exists	P1	Yes		
SOX	Create RACM	Verify that New RACM opens a modal offering upload a RACM and extract from an SOP	Both routes are offered with a one line description each	The modal does not open or a route is missing	P0	Yes		
SOX	Create RACM	Verify that the modal can be closed without creating anything	The modal closes and the library is unchanged	A RACM is created on close	P0	Yes		
SOX	Create RACM	Verify that choosing upload a RACM opens the file picker	The file picker opens	The modal closes with nothing happening	P0	Yes		Observed on staging 21 Aug 2026 - clicking the card once closed the modal without opening a picker
SOX	Create RACM	Verify that choosing upload an SOP opens a picker limited to pdf	Only pdf can be chosen	Any file type can be chosen	P1	Yes		
SOX	Create RACM	Verify that the modal offers a way to build a RACM by hand for teams with no file	A manual route is offered	The only ways in are file uploads	P1	Yes		No manual create option exists on staging as at 21 Aug 2026
SOX	Create RACM	Verify that the modal explains in one line what each route does	Both routes carry a short description	A route has no description	P2	Yes		
SOX	Upload RACM - File	Verify that an xlsx matrix is accepted and read	The import screen opens with the file name shown	The file is refused	P0	Yes		
SOX	Upload RACM - File	Verify that a csv matrix is accepted and read	The import screen opens	The file is refused even though csv is offered	P0	Yes		
SOX	Upload RACM - File	Verify that a file of an unsupported kind is refused with a clear message	A message names what can be uploaded	An unsupported file is accepted and fails later	P0	Yes		
SOX	Upload RACM - File	Verify that an image file cannot be uploaded as a RACM	The file is refused	An image is accepted as a control matrix	P0	Yes		Observed on staging 21 Aug 2026 - the RACM file picker accepts png, jpg, tiff, bmp and webp
SOX	Upload RACM - File	Verify that an empty file is refused with a clear message	A message says the file has no rows	An empty RACM is created	P0	Yes		
SOX	Upload RACM - File	Verify that a workbook with several sheets picks the sheet that holds the matrix and says why	The chosen sheet is named with a short reason	A random sheet is used with no explanation	P1	Yes		
SOX	Upload RACM - File	Verify that a very large matrix either imports or explains the size limit	The file imports or the limit is explained	The upload hangs with no message	P1	Yes		
SOX	Upload RACM - File	Verify that a file already being uploaded cannot be submitted twice	Only one import runs	Two identical RACMs are created	P1	Yes		
SOX	Upload RACM - File	Verify that the file name is shown on the import screen so the user knows what they are mapping	The file name is shown at the top	The file name is not shown	P2	Yes		
SOX	Upload RACM - File	Verify that a corrupt or password protected file is refused with a clear message	A message explains the file could not be read	The screen hangs or shows a technical error	P1	Yes		
SOX	Import RACM - Header Row	Verify that the import screen shows which row it thinks the headers are on	The chosen header row is shown with its first few column names	No header row is shown	P0	Yes		
SOX	Import RACM - Header Row	Verify that a confidence figure is shown against the header row choice	A percentage or similar is shown	No confidence is shown	P1	Yes		
