Ref,Stage,Trigger Condition,Email Sent To,Email Purpose,Recipient Role,Channel,CTA / Deep-link,Timing
4.4,Completion review,AU rejects (Discrepancy) -> case reopens at RO,Risk Owner,"Action rejected - discrepancy found, please redo",RO,Email + In-app,Open case with comment,Immediate
5.1,Due date,RO requests a due-date revision,Auditor,A due-date extension needs your approval,AU,Email + In-app,Open Review Due Date drawer,Immediate
5.2,Due date,AU approves the revision,Risk Owner,Due-date extension approved - new date set,RO,Email + In-app,Open case,Immediate
5.3,Due date,AU rejects the revision,Risk Owner,Due-date extension rejected - original date stands,RO,Email + In-app,Open case,Immediate
5.4,Due date,Action due date approaching (e.g. T-3 / T-1 day),RO (+ AU cc),Action due soon,"RO, AU",In-app (Email reminder),Open case,Reminder
5.5,Due date,Action due date passed -> Overdue,RO + AU,Exception is overdue and needs attention,"RO, AU",Email + In-app,Open Action Hub -> Overdue,Reminder (daily until cleared)
6.1,Assignment,Assigner assigns a case (single or bulk) to a team member,Assignee,A case has been assigned to you,ASE,Email + In-app,Open assigned case (drafting),Immediate
6.2,Assignment,Assignment replaces an existing owner (re-assignment),Previous owner,A case was reassigned away from you,prev ASE,In-app,Open case (read-only),Immediate
6.3,Approval submit,Assignee submits drafted work -> enters approval at L1,L1 Approver(s),An item is awaiting your approval,APV (L1),Email + In-app,Open Approval Inbox,Immediate
6.4,Approval,Level approved but more approvers remain (parallel all),Remaining approvers at level,Your approval is still needed,APV,In-app,Open Approval Inbox,Immediate
6.5,Approval,Level fully approved -> advances to next level,Next-level approver(s),An item has advanced to your level for approval,APV (Ln+1),Email + In-app,Open Approval Inbox,Immediate
6.6,Approval,Sequential mode - it is the next approver's turn,Next approver in sequence,It is your turn to approve,APV,Email + In-app,Open Approval Inbox,Immediate
6.7,Approval final,Final level approved -> case advances to next platform stage,Assignee + Assigner,Approved - case finalized and advanced,"ASE, ASG",Email + In-app,Open case,Immediate
6.8,Approval reject,An approver rejects -> returns to assignee,Assignee (+ Assigner cc),Your submission was rejected - see comments,"ASE, ASG",Email + In-app,Open case (drafting) with comment,Immediate
6.9,Send-back,Approver sends back to the previous level,That level's approver(s),An item was sent back to your level,APV (Ln-1),Email + In-app,Open Approval Inbox with comment,Immediate
6.10,Send-back,Send-back at L1 -> bounced to assignee to revise,Assignee,Revisions requested before approval,ASE,Email + In-app,Open case (drafting),Immediate
6.11,Escalation,Send-back limit (3) reached -> escalated to assigner,Assigner,Approval loop escalated - your decision needed,ASG,Email + In-app,Open escalated case,Immediate
6.12,Pull-back,Assigner recalls an in-flight assignment,Assignee + pending approvers,An assignment was recalled by the assigner,"ASE, APV",In-app,—,Immediate
6.13,Reassignment,Assignee deactivated mid-flight -> needs reassignment,Assigner / Admin,An assignee is inactive - case needs reassignment,"ASG, ADM",Email + In-app,Open case to reassign,Immediate
6.14,Approval SLA,Current level SLA at-risk (<=25% time left),Current approver(s),Approval due soon,APV,In-app (Email reminder),Open Approval Inbox,Reminder
6.15,Approval SLA,Current level SLA overdue,Current approver(s) + Assigner,Approval is overdue,"APV, ASG",Email + In-app,Open Approval Inbox,Reminder (until acted)
7.1,Comment,One persona posts a comment on a case,The other persona,New comment on an exception you are working,RO or AU (counterpart),In-app (Email digest),Open case thread (unread badge),Immediate in-app / Digest email
7.2,Comment,Comment posted with an attachment,Counterpart,New comment with an attachment,RO or AU,In-app (Email digest),Open case thread,Immediate / Digest
7.3,Comment,Bulk comment posted across multiple cases,Each affected counterpart,New comments across N exceptions,RO/AU per case,In-app (Email digest),Open filtered cases,Digest
8.1,Bulk action,Bulk classify / review / complete applied to a group,Each affected case's counterpart,Bulk action applied - items need your attention,RO/AU per case,In-app (Email digest),Open filtered cases,Digest
8.2,Closure,Case reaches Closed (any path),RO + AU + source report owner,Exception closed,"RO, AU, RPT",In-app (Email digest),Open closed case,Digest
8.3,Reopen,Case reopens (rejection / discrepancy),Risk Owner,An exception was reopened and needs rework,RO,Email + In-app,Open case,Immediate
8.4,Digest,End-of-day open workload summary,"RO, AU, APV",Your open exceptions / approvals for today,all actors,Email,Open Action Hub,Digest (daily)
